query,positive,label
Disclosure,open,6
Disclosure,public,6
Disclosure,sharing,6
Disclosure,transparency,6
Disclosure,release,6
Individual,tax,7
Individual,login,7
Individual,driver,7
Individual,ID,7
Individual,data,7
Individual,credential,7
Individual,control,7
Individual,clearance,7
Individual,account,7
Individual,staff,7
Individual,identification,7
Individual,information,7
Individual,consent,7
Individual,personnel,7
Individual,profile,7
Individual,authorization,7
Individual,person,7
Individual,licensing,7
Individual,access,7
Individual,patient,7
Individual,security,7
Individual,authentication,7
Individual,record,7
Individual,file,7
Individual,voter,7
Individual,customer,7
Individual,employee,7
Individual,passport,7
Individual,privilege,7
Individual,database,7
Individual,social,7
Individual,user,7
Individual,management,7
Compliance date,Inspection,8
Compliance date,Covered Entity,8
Compliance date,Healthcare,8
Compliance date,Regulatory,8
Compliance date,Agreement,8
Compliance date,Regulation,8
Compliance date,Guideline,8
Compliance date,Policy,8
Compliance date,Lawsuit,8
Compliance date,Vendor,8
Compliance date,Litigation,8
Compliance date,Record Keeping,8
Compliance date,Procedure,8
Compliance date,Standard,8
Compliance date,Audit,8
Compliance date,Business,8
Compliance date,BAA,8
Compliance date,Deadline,8
Compliance date,Business Associate,8
Compliance date,Contractor,8
Compliance date,Modification,8
Compliance date,Penalty,8
Compliance date,Fines,8
Compliance date,Business Associate Agreement,8
Compliance date,Requirement,8
Compliance date,Entity,8
Compliance date,Compliance Officer,8
Compliance date,Contract,8
Compliance date,Protocol,8
Compliance date,Date,8
Compliance date,Compliance,8
Compliance date,Reporting,8
Compliance date,Organizational,8
Compliance date,Implementation,8
Compliance date,Standard Operating,8
Compliance date,HIPAA,8
Act,ordinance,9
Act,government,9
Act,regulation,9
Act,official,9
Act,judge's order,9
Act,government office,9
Act,legislative body,9
Act,government decree,9
Act,statute,9
Act,public law,9
Act,government function,9
Act,act of congress,9
Act,government agency,9
Act,law,9
Act,policy maker,9
Act,statutory law,9
Act,public policy,9
Act,lawyer,9
Act,rule,9
Act,court order,9
Act,legislative action,9
Act,bylaw,9
Act,judge,9
Act,government policy,9
Act,bill,9
Act,policy,9
Act,judge's decision,9
Act,court,9
Act,law enforcement,9
Act,legislation,9
Health care,speech therapist,10
Health care,medication,10
Health care,diagnosis,10
Health care,rehabilitation center,10
Health care,nursing home,10
Health care,medical record,10
Health care,therapy,10
Health care,hospital,10
Health care,wellness program,10
Health care,pharmacy,10
Health care,hospice care,10
Health care,medical billing,10
Health care,medical billing services,10
Health care,fitness center,10
Health care,medical equipment,10
Health care,occupational therapist,10
Health care,counseling,10
Health care,clinical trials,10
Health care,nurse,10
Health care,prescription medication,10
Health care,rehabilitation,10
Health care,physical therapist,10
Health care,nutritionist,10
Health care,insurance,10
Health care,doctor,10
Health care,prescription,10
Health care,insurance claim,10
Health care,medical research,10
Health care,health promotion,10
Health care,treatment,10
State,geography,11
State,legislator,11
State,legislative,11
State,government,11
State,regulation,11
State,governance,11
State,jurisdiction,11
State,legislative body,11
State,capital,11
State,house of representatives,11
State,senate,11
State,country,11
State,legislature,11
State,politics,11
State,map,11
State,law,11
State,local government,11
State,state laws,11
State,congress,11
State,rule,11
State,executive,11
State,judicial,11
State,region,11
State,public service,11
State,administration,11
State,policy,11
State,local,11
State,government office,11
Person,human resources,12
Person,citizen,12
Person,staff management,12
Person,child,12
Person,employee relations,12
Person,government,12
Person,regulation,12
Person,population,12
Person,staff,12
Person,judiciary,12
Person,personnel,12
Person,youth,12
Person,society,12
Person,personnel management,12
Person,worker,12
Person,adult,12
Person,firm,12
Person,humanity,12
Person,woman,12
Person,individual,12
Person,business,12
Person,living being,12
Person,workforce,12
Person,justice,12
Person,mankind,12
Person,HR,12
Person,law,12
Person,community,12
Person,company,12
Person,residents,12
Person,public,12
Person,organization,12
Person,employee,12
Person,corporate,12
Person,man,12
Person,policy,12
Person,court,12
Person,elderly,12
Person,private,12
Person,state,12
Health care operations,policy holders,13
Health care operations,health information,13
Health care operations,coverage policies,13
Health care operations,population-based,13
Health care operations,plan sponsors,13
Health care operations,business planning,13
Health care operations,grievances,13
Health care operations,cost-management,13
Health care operations,development,13
Health care operations,consolidation,13
Health care operations,healthcare,13
Health care operations,data set,13
Health care operations,healthcare costs,13
Health care operations,fundraising,13
Health care operations,protocol,13
Health care operations,quality assessment,13
Health care operations,customer service,13
Health care operations,medical,13
Health care operations,improvement,13
Health care operations,payment,13
Health care operations,formulary,13
Health care operations,compliance,13
Health care operations,case management,13
Health care operations,patient,13
Health care operations,HIPAA,13
Health care operations,provider,13
Health care operations,insurance,13
Health care operations,merger,13
Health care operations,data analysis,13
Health care operations,customer,13
Health care operations,covered entity,13
Health care operations,care coordination,13
Health care operations,regulations,13
Health care operations,healthcare law,13
Health care provider,medication,14
Health care provider,therapist,14
Health care provider,health,14
Health care provider,medical team,14
Health care provider,hospitality,14
Health care provider,hospital,14
Health care provider,clinic,14
Health care provider,department,14
Health care provider,dentist,14
Health care provider,practice,14
Health care provider,medical billing,14
Health care provider,healthcare billing,14
Health care provider,healthcare records,14
Health care provider,generalist,14
Health care provider,patient,14
Health care provider,specialist,14
Health care provider,provider,14
Health care provider,insurance,14
Health care provider,office,14
Health care provider,prescription,14
Health care provider,medical records,14
Payment,appropriateness,15
Payment,collection,15
Payment,subrogation,15
Payment,excess of loss insurance,15
Payment,account number,15
Payment,payment history,15
Payment,medical necessity,15
Payment,data processing,15
Payment,protected health information,15
Payment,retrospective review,15
Payment,healthcare,15
Payment,coverage,15
Payment,reimbursement,15
Payment,care,15
Payment,enrollee,15
Payment,financial,15
Payment,reporting,15
Payment,agency,15
Payment,claims,15
Payment,information,15
Payment,stop-loss insurance,15
Payment,health status,15
Payment,justification,15
Payment,benefits,15
Payment,concurrence,15
Payment,healthcare provider,15
Payment,contract,15
Payment,demographics,15
Payment,precertification,15
Payment,preauthorization,15
Payment,charges,15
Payment,reinsurance,15
Payment,adjudication,15
Payment,disclosure,15
Payment,consumer reporting,15
Payment,risk adjustment,15
Payment,insurance,15
Payment,utilization review,15
Payment,health plan,15
Payment,premiums,15
Payment,healthcare services,15
Payment,billing,15
Health plan,Pre-approval,16
Health plan,Network,16
Health plan,Pharmacy,16
Health plan,Treatment,16
Health plan,Co-insurance,16
Health plan,Deductible,16
Health plan,Out-of-Pocket,16
Health plan,Fitness Center,16
Health plan,Medical Specialist,16
Health plan,Wellness Program,16
Health plan,Vaccination,16
Health plan,Health Education,16
Health plan,Affordable Care Act,16
Health plan,Plan,16
Health plan,Medical Records,16
Health plan,Primary Care Physician,16
Health plan,Disease Management,16
Health plan,Premium,16
Health plan,Benefits,16
Health plan,Co-pay,16
Health plan,Doctor,16
Health plan,Dietary Advice,16
Health plan,Medical Expenses,16
Health plan,Prescription,16
Health plan,Specialist,16
Health plan,Preventive Care,16
Health plan,Reimbursement,16
Health plan,Medication,16
Health plan,Pre-authorization,16
Health plan,Provider,16
Health plan,Hospital,16
Health plan,Coverage,16
Treatment,Healthcare,17
Treatment,Therapist,17
Treatment,Clinic,17
Treatment,Co-insurance,17
Treatment,Deductible,17
Treatment,Condition,17
Treatment,Injury,17
Treatment,Medical billing,17
Treatment,Medical,17
Treatment,Wellness,17
Treatment,Patient,17
Treatment,Medical research,17
Treatment,Procedure,17
Treatment,Clinical trials,17
Treatment,Insurance,17
Treatment,Rehabilitation center,17
Treatment,Physical therapy,17
Treatment,Speech therapy,17
Treatment,Premium,17
Treatment,Healthcare provider,17
Treatment,Surgery,17
Treatment,Caregiver,17
Treatment,Co-pay,17
Treatment,Doctor,17
Treatment,Nurse,17
Treatment,Medical records,17
Treatment,Health insurance,17
Treatment,Healthcare system,17
Treatment,Disease,17
Treatment,Medicaid,17
Treatment,Prescription,17
Treatment,Medicare,17
Treatment,Recovery,17
Treatment,Hospital,17
Treatment,Occupational therapy,17
Indirect treatment relationship,Case management,18
Indirect treatment relationship,Multidisciplinary team,18
Indirect treatment relationship,Data analytics,18
Indirect treatment relationship,Consultation,18
Indirect treatment relationship,Medical malpractice,18
Indirect treatment relationship,Healthcare network,18
Indirect treatment relationship,Population health,18
Indirect treatment relationship,Care team,18
Indirect treatment relationship,Care coordination,18
Indirect treatment relationship,Communication,18
Indirect treatment relationship,Collaborative care,18
Indirect treatment relationship,Telemedicine,18
Indirect treatment relationship,Shared decision-making,18
Indirect treatment relationship,Risk management,18
Indirect treatment relationship,Healthcare coordination,18
Indirect treatment relationship,Clinical decision support,18
Indirect treatment relationship,Regulatory compliance,18
Indirect treatment relationship,Referral,18
Indirect treatment relationship,Patient advocate,18
Indirect treatment relationship,Healthcare provider,18
Indirect treatment relationship,Clinical workflow,18
Indirect treatment relationship,Caregiver,18
Indirect treatment relationship,Interdisciplinary care,18
Indirect treatment relationship,Order entry,18
Indirect treatment relationship,Patient handoff,18
Indirect treatment relationship,Referral management,18
Indirect treatment relationship,Medical records,18
Indirect treatment relationship,Patient safety,18
Indirect treatment relationship,Liability,18
Indirect treatment relationship,Healthcare system,18
Indirect treatment relationship,Family member,18
Indirect treatment relationship,Care transitions,18
Indirect treatment relationship,Prescription,18
Indirect treatment relationship,Public health,18
Indirect treatment relationship,Collaboration,18
Indirect treatment relationship,Health information management,18
Indirect treatment relationship,Interdisciplinary communication,18
Indirect treatment relationship,Electronic health records,18
Indirect treatment relationship,Transition of care,18
Indirect treatment relationship,Handover,18
Indirect treatment relationship,Healthcare policy,18
Indirect treatment relationship,Quality improvement,18
Indirect treatment relationship,HIPAA,18
Loss,Financial Statements,19
Loss,Claim,19
Loss,Financial,19
Loss,Financial Regulation,19
Loss,Risk Management,19
Loss,Financial Management,19
Loss,Financial Planning,19
Loss,Administrative Costs,19
Loss,Claim Payment,19
Loss,Insurance,19
Loss,Insurance Industry,19
Loss,Financial Gain,19
Loss,Audit,19
Loss,Business,19
Loss,Premium,19
Loss,Tax,19
Loss,Business Analysis,19
Loss,Economic Analysis,19
Loss,Cost-Benefit Analysis,19
Loss,Risk Assessment,19
Loss,Premium Collection,19
Loss,Financial Analysis,19
Loss,Accounting,19
Loss,Liability,19
Loss,Administrative,19
Loss,Pool,19
Loss,Economics,19
Loss,Risk,19
Loss,Financial Reporting,19
Loss,Expense,19
Loss,Financial Modeling,19
Loss,Investment,19
Loss,Financial Loss,19
Loss,Risk Pool,19
Plan sponsor,Financial,20
Plan sponsor,Administration,20
Plan sponsor,Regulation,20
Plan sponsor,Management,20
Plan sponsor,Strategy,20
Plan sponsor,Talent,20
Plan sponsor,Acquisitions,20
Plan sponsor,401(k),20
Plan sponsor,Plan,20
Plan sponsor,ERISA,20
Plan sponsor,Benefits,20
Plan sponsor,Fiduciary,20
Plan sponsor,Mergers,20
Plan sponsor,Employer,20
Plan sponsor,Acquisition,20
Plan sponsor,Employee,20
Plan sponsor,Pension,20
Plan sponsor,Portfolio,20
Plan sponsor,Liability,20
Plan sponsor,Governance,20
Plan sponsor,Risk,20
Plan sponsor,Planning,20
Plan sponsor,Retirement,20
Plan sponsor,Asset,20
Plan sponsor,Investment,20
Plan sponsor,Compliance,20
Plan sponsor,Responsibility,20
Health information,confidentiality,21
Health information,medication,21
Health information,diagnosis,21
Health information,medicaid,21
Health information,patientdata,21
Health information,patientdatamanagement,21
Health information,privacy,21
Health information,hospital,21
Health information,protocol,21
Health information,medical,21
Health information,disease,21
Health information,datasecurity,21
Health information,protection,21
Health information,guideline,21
Health information,medicalhistory,21
Health information,procedure,21
Health information,test,21
Health information,EHR,21
Health information,compliance,21
Health information,patient,21
Health information,HIPAA,21
Health information,medicalrecord,21
Health information,treatment,21
Health information,record,21
Health information,standard,21
Health information,insurance,21
Health information,doctor,21
Health information,prescription,21
Health information,healthrecordkeeping,21
Health information,policy,21
Health information,geneticinformation,21
Health information,EMR,21
Health information,medicare,21
Health information,regulations,21
Health information,medicalrecordkeeping,21
Correctional institution,halfway house,22
Correctional institution,work farm,22
Correctional institution,courtroom,22
Correctional institution,laws,22
Correctional institution,criminal record,22
Correctional institution,government,22
Correctional institution,regulation,22
Correctional institution,parole,22
Correctional institution,reformatory,22
Correctional institution,law enforcement officer,22
Correctional institution,felony,22
Correctional institution,sheriff,22
Correctional institution,judicial system,22
Correctional institution,penal code,22
Correctional institution,crimes,22
Correctional institution,custody,22
Correctional institution,criminal offense,22
Correctional institution,law,22
Correctional institution,lawyer,22
Correctional institution,rehabilitation,22
Correctional institution,probation,22
Correctional institution,detention,22
Correctional institution,lawful custody,22
Correctional institution,misdemeanor,22
Correctional institution,attorney,22
Correctional institution,jail,22
Correctional institution,judge,22
Correctional institution,justice system,22
Correctional institution,conviction,22
Correctional institution,sentence,22
Correctional institution,policy,22
Correctional institution,police,22
Correctional institution,authority,22
Financial remuneration,incentive,23
Financial remuneration,bonus,23
Financial remuneration,donation,23
Financial remuneration,pension,23
Financial remuneration,compensation,23
Financial remuneration,grant,23
Financial remuneration,subsidy,23
Financial remuneration,non-monetary,23
Financial remuneration,reimbursement,23
Financial remuneration,commission,23
Financial remuneration,charge,23
Financial remuneration,provision,23
Financial remuneration,gift-in-kind,23
Financial remuneration,prize,23
Financial remuneration,retirement,23
Financial remuneration,allowance,23
Financial remuneration,contract,23
Financial remuneration,in-kind,23
Financial remuneration,reward,23
Financial remuneration,payment,23
Financial remuneration,award,23
Financial remuneration,agreement,23
Financial remuneration,benefit-in-kind,23
Financial remuneration,benefit,23
Financial remuneration,fee,23
Financial remuneration,negotiation,23
Financial remuneration,insurance,23
Financial remuneration,wages,23
Financial remuneration,expense,23
Financial remuneration,payroll,23
Financial remuneration,salary,23
Financial remuneration,gift,23
Research,academic,24
Research,scientist,24
Research,data collection,24
Research,paper,24
Research,data,24
Research,knowledge,24
Research,evaluate,24
Research,survey,24
Research,statistic,24
Research,analyze,24
Research,information gathering,24
Research,information,24
Research,trial,24
Research,expert,24
Research,investigate,24
Research,collect,24
Research,test,24
Research,dissertation,24
Research,study,24
Research,thesis,24
Research,article,24
Research,explore,24
Research,data analysis,24
Research,inquiry,24
Research,questionnaire,24
Research,journal,24
Research,gather,24
Research,experiment,24
Required by law,program,25
Required by law,government program,25
Required by law,subpoena,25
Required by law,regulation,25
Required by law,administrative body,25
Required by law,investigative demand,25
Required by law,public benefits,25
Required by law,healthcare,25
Required by law,civil demand,25
Required by law,statute,25
Required by law,require,25
Required by law,entity,25
Required by law,information,25
Required by law,authorized,25
Required by law,grand jury,25
Required by law,payment,25
Required by law,compliance,25
Required by law,court of law,25
Required by law,compels,25
Required by law,participating,25
Required by law,disclosure,25
Required by law,court order,25
Required by law,participation,25
Required by law,provider,25
Required by law,enforceable,25
Required by law,production,25
Required by law,summons,25
Required by law,tribal inspector general,25
Required by law,court-ordered,25
Genetic information,genetic engineering,26
Genetic information,health information,26
Genetic information,biotechnology,26
Genetic information,disease screening,26
Genetic information,assisted reproductive technology,26
Genetic information,family history,26
Genetic information,medical diagnosis,26
Genetic information,fetus,26
Genetic information,family tree,26
Genetic information,individual,26
Genetic information,genetic screening,26
Genetic information,embryo,26
Genetic information,clinical trials,26
Genetic information,family member,26
Genetic information,medical history,26
Genetic information,heredity,26
Genetic information,genetic predisposition,26
Genetic information,pregnancy,26
Genetic information,ancestry testing,26
Genetic information,medical records,26
Genetic information,medical research,26
Genetic information,patient data,26
Subcontractor,service level,27
Subcontractor,business partner,27
Subcontractor,supplier,27
Subcontractor,assign,27
Subcontractor,third-party,27
Subcontractor,service provider,27
Subcontractor,association,27
Subcontractor,terms,27
Subcontractor,vendor,27
Subcontractor,accountability,27
Subcontractor,project,27
Subcontractor,delegation,27
Subcontractor,delegate,27
Subcontractor,contract,27
Subcontractor,delivery,27
Subcontractor,task,27
Subcontractor,collaboration,27
Subcontractor,workforce,27
Subcontractor,agreement,27
Subcontractor,outsider,27
Subcontractor,provider,27
Subcontractor,conditions,27
Subcontractor,liability,27
Subcontractor,employee,27
Subcontractor,responsibility,27
Subcontractor,employer,27
Subcontractor,freelancer,27
Subcontractor,consultant,27
Subcontractor,partnership,27
Individually identifiable health information,stored,28
Individually identifiable health information,personalhealthrecord,28
Individually identifiable health information,healthcare,28
Individually identifiable health information,medicaid,28
Individually identifiable health information,received,28
Individually identifiable health information,patientdata,28
Individually identifiable health information,documented,28
Individually identifiable health information,hospital,28
Individually identifiable health information,identification,28
Individually identifiable health information,edited,28
Individually identifiable health information,medicaldata,28
Individually identifiable health information,managed,28
Individually identifiable health information,shared,28
Individually identifiable health information,changed,28
Individually identifiable health information,medical,28
Individually identifiable health information,transmitted,28
Individually identifiable health information,maintained,28
Individually identifiable health information,PHI,28
Individually identifiable health information,medicalhistory,28
Individually identifiable health information,recorded,28
Individually identifiable health information,accessed,28
Individually identifiable health information,patient,28
Individually identifiable health information,medicalrecord,28
Individually identifiable health information,identifiable,28
Individually identifiable health information,modified,28
Individually identifiable health information,healthinformation,28
Individually identifiable health information,record,28
Individually identifiable health information,provider,28
Individually identifiable health information,insurance,28
Individually identifiable health information,doctor,28
Individually identifiable health information,healthrecord,28
Individually identifiable health information,healthplan,28
Individually identifiable health information,viewed,28
Individually identifiable health information,updated,28
Individually identifiable health information,patientinfo,28
Individually identifiable health information,medicare,28
Individually identifiable health information,HIPAA,28
Standard,criteria,29
Standard,guideline,29
Standard,procedure,29
Standard,uniform,29
Standard,classification system,29
Standard,classification,29
Standard,normative,29
Standard,norm,29
Standard,protocol,29
Standard,specification,29
Standard,threshold,29
Standard,regulation,29
Standard,requirement,29
Standard,benchmark,29
Standard,criterion,29
Standard,rule,29
Workforce,human resources,30
Workforce,contractors,30
Workforce,government,30
Workforce,procedures,30
Workforce,compensation,30
Workforce,consulting,30
Workforce,team,30
Workforce,development,30
Workforce,teamwork,30
Workforce,subcontractors,30
Workforce,agency,30
Workforce,protocol,30
Workforce,leadership,30
Workforce,benefits,30
Workforce,training,30
Workforce,governing,30
Workforce,affiliates,30
Workforce,recruitment,30
Workforce,business,30
Workforce,collaboration,30
Workforce,compliance,30
Workforce,union,30
Workforce,outsourcing,30
Workforce,law,30
Workforce,company,30
Workforce,trainees,30
Workforce,wages,30
Workforce,organization,30
Workforce,volunteers,30
Workforce,policy,30
Workforce,salary,30
Workforce,partnership,30
Workforce,regulations,30
Workforce,management,30
Health oversight agency,health,31
Health oversight agency,government,31
Health oversight agency,data,31
Health oversight agency,regulation,31
Health oversight agency,enforcement,31
Health oversight agency,grant,31
Health oversight agency,civil,31
Health oversight agency,healthcare,31
Health oversight agency,rights,31
Health oversight agency,oversight,31
Health oversight agency,system,31
Health oversight agency,agency,31
Health oversight agency,information,31
Health oversight agency,medical,31
Health oversight agency,protection,31
Health oversight agency,contract,31
Health oversight agency,compliance,31
Health oversight agency,patient,31
Health oversight agency,law,31
Health oversight agency,security,31
Health oversight agency,record,31
Health oversight agency,provider,31
Health oversight agency,insurance,31
Health oversight agency,privac,31
Health oversight agency,policy,31
Health oversight agency,authorization,31
Health oversight agency,management,31
Public health authority,government official,32
Public health authority,health inspection,32
Public health authority,health monitoring,32
Public health authority,regulatory,32
Public health authority,government oversight,32
Public health authority,government,32
Public health authority,regulation,32
Public health authority,regulatory compliance,32
Public health authority,healthcare,32
Public health authority,regulatory enforcement,32
Public health authority,agency,32
Public health authority,healthcare mandate,32
Public health authority,healthcare regulations,32
Public health authority,regulatory body,32
Public health authority,government agency,32
Public health authority,healthcare provider,32
Public health authority,government mandate,32
Public health authority,regulatory authority,32
Public health authority,policy,32
Public health authority,authority,32
Public health authority,health administrator,32
Law enforcement official,penalties,33
Law enforcement official,courtroom,33
Law enforcement official,punishment,33
Law enforcement official,system,33
Law enforcement official,detective,33
Law enforcement official,judiciary,33
Law enforcement official,sheriff,33
Law enforcement official,trial,33
Law enforcement official,cops,33
Law enforcement official,enforcer,33
Law enforcement official,arrest,33
Law enforcement official,prosecution,33
Law enforcement official,compliance,33
Law enforcement official,agencies,33
Law enforcement official,evidence,33
Law enforcement official,testimony,33
Law enforcement official,justice,33
Law enforcement official,law,33
Law enforcement official,agent,33
Law enforcement official,detention,33
Law enforcement official,judicial,33
Law enforcement official,attorney,33
Law enforcement official,jail,33
Law enforcement official,authorities,33
Law enforcement official,conviction,33
Law enforcement official,witnesses,33
Law enforcement official,lawman,33
Law enforcement official,penitentiary,33
Law enforcement official,sentence,33
Law enforcement official,crime,33
Law enforcement official,police,33
Law enforcement official,court,33
Law enforcement official,prison,33
Law enforcement official,interrogation,33
Law enforcement official,regulations,33
Group health plan,Healthcare,34
Group health plan,Employee Welfare Benefit,34
Group health plan,Healthcare Access,34
Group health plan,Healthcare Law,34
Group health plan,Healthcare Governance,34
Group health plan,Dependents,34
Group health plan,Healthcare Compliance,34
Group health plan,Healthcare Equity,34
Group health plan,Insurance,34
Group health plan,Healthcare Administration,34
Group health plan,Healthcare Utilization,34
Group health plan,Plan,34
Group health plan,Employee Benefits,34
Group health plan,ERISA,34
Group health plan,Healthcare Regulations,34
Group health plan,Participation,34
Group health plan,Healthcare Reform,34
Group health plan,Welfare,34
Group health plan,Healthcare Oversight,34
Group health plan,Benefits,34
Group health plan,Employer,34
Group health plan,Employee,34
Group health plan,Healthcare Transparency,34
Group health plan,Healthcare Costs,34
Group health plan,Medicaid,34
Group health plan,Medical Care,34
Group health plan,Healthcare Services,34
Group health plan,Healthcare Expenses,34
Group health plan,Healthcare Provider,34
Group health plan,Reimbursement,34
Group health plan,Healthcare Efficiency,34
Group health plan,Healthcare Accountability,34
Group health plan,Medicare,34
Group health plan,Employer Sponsored,34
Group health plan,Healthcare Disparities,34
Data aggregation,Covered Entity,35
Data aggregation,Healthcare,35
Data aggregation,Protected Health Information,35
Data aggregation,Business Intelligence,35
Data aggregation,Statistics,35
Data aggregation,Data Analytics,35
Data aggregation,Insight,35
Data aggregation,Data Security,35
Data aggregation,Data Visualization,35
Data aggregation,Medical Records,35
Data aggregation,Data Confidentiality,35
Data aggregation,Data Mining,35
Data aggregation,Patient Data,35
Data aggregation,Business Associate,35
Data aggregation,Data Integrity,35
Data aggregation,Data Sharing,35
Data aggregation,Research,35
Data aggregation,EHR,35
Data aggregation,Electronic Health Records,35
Data aggregation,Data Analysis,35
Data aggregation,Data Science,35
Data aggregation,Medical Research,35
Data aggregation,Health Information Exchange,35
Data aggregation,Data Engineering,35
Data aggregation,Healthcare Operations,35
Data aggregation,Clinical Trials,35
Data aggregation,Analytics,35
Data aggregation,Data Standardization,35
Data aggregation,HIE,35
Data aggregation,Compliance,35
Data aggregation,Reporting,35
Data aggregation,Medical Informatics,35
Data aggregation,Healthcare IT,35
Data aggregation,HIPAA,35
Electronic protected health information,Healthcare,36
Electronic protected health information,Data,36
Electronic protected health information,Healthcare Law,36
Electronic protected health information,Regulations,36
Electronic protected health information,Security Measures,36
Electronic protected health information,Medical,36
Electronic protected health information,Patient,36
Electronic protected health information,Insurance,36
Electronic protected health information,Medical Records,36
Electronic protected health information,Records,36
Electronic protected health information,Personal,36
Electronic protected health information,Data Breach,36
Electronic protected health information,Electronic,36
Electronic protected health information,Medical Records Management,36
Electronic protected health information,PHI,36
Electronic protected health information,Healthcare Organization,36
Electronic protected health information,Protected,36
Electronic protected health information,Security,36
Electronic protected health information,Data Protection,36
Electronic protected health information,Privacy,36
Electronic protected health information,Healthcare Provider,36
Electronic protected health information,Confidential,36
Electronic protected health information,Compliance,36
Electronic protected health information,Healthcare IT,36
Electronic protected health information,HIPAA,36
Health insurance issuer,medication,37
Health insurance issuer,deductible,37
Health insurance issuer,health,37
Health insurance issuer,wellness,37
Health insurance issuer,claim,37
Health insurance issuer,network,37
Health insurance issuer,denial,37
Health insurance issuer,prevention,37
Health insurance issuer,condition,37
Health insurance issuer,healthcare,37
Health insurance issuer,coverage,37
